day,1_plant_count,2_plant_count,1_species_size,1_species_sense,1_species_dexterity,1_species_count,2_species_size,2_species_sense,2_species_dexterity,2_species_count,

0,40,30,3,4,4,15,4,4,5,15,
1,40,30,2.9833336,3.9777777,4.066667,18,3.9111114,4.0444446,5.111111,27,
2,40,30,3.0537503,4.101667,4.2383337,24,3.8461537,4.1538467,5.121154,39,
3,40,30,3.0079002,4.1331997,4.3918667,30,3.6076734,4.1787148,5.1766324,49,
4,38,27,2.9697967,4.4196997,4.310843,28,3.6708755,4.0912256,5.257697,60,
5,38,27,2.91765,4.4803457,4.3338366,22,3.713483,4.206877,5.2833953,58,
6,38,27,2.9961805,4.360216,4.3750205,22,3.6343186,4.2094927,5.237142,57,
7,38,27,3.0780551,4.634038,4.703603,20,3.6094134,4.4842496,5.326416,56,
8,36,24,3.1987066,4.656927,4.664363,16,3.5694385,4.5873666,5.460372,65,
9,36,24,3.1879387,4.772469,4.949534,10,3.7185862,4.618487,5.2201767,61,
10,36,24,3.165941,4.776225,5.0469947,12,3.7092202,4.6774054,5.5516214,58,
11,36,24,3.2298136,4.563603,4.8977895,12,3.7294633,4.5046864,5.4007072,54,
12,34,21,3.5308945,4.6489906,4.8934216,8,3.697775,4.6798973,5.6111994,50,
13,34,21,3.6749327,4.827189,4.7969136,11,3.624281,4.76788,5.7052913,47,
14,34,21,3.8949208,4.8517876,5.0763216,10,3.4104056,5.132535,6.341093,52,
15,34,21,,,,0,3.3975835,5.061333,6.1412473,54,
16,32,20,,,,0,3.4949038,4.9309797,6.2472734,49,
17,32,20,,,,0,3.6844854,5.01553,6.1999907,46,
18,32,20,,,,0,3.5415232,4.83335,6.182752,52,
19,32,20,,,,0,3.5107543,4.67687,6.291255,46,
20,30,20,,,,0,3.3860998,4.874242,6.5239725,52,
21,30,20,,,,0,3.3316998,4.820323,6.825291,50,
22,30,20,,,,0,3.1799574,4.7821517,7.023335,58,
23,30,20,,,,0,3.4050226,4.691091,6.5073023,43,
24,28,20,,,,0,3.2807062,4.758473,7.1329236,45,
25,28,20,,,,0,3.0891516,4.727422,7.1429863,42,
26,28,20,,,,0,3.1969414,5.4329123,7.0891156,30,
27,28,20,,,,0,3.055085,5.2481875,7.454983,33,
28,26,20,,,,0,2.8626456,5.3014073,7.894868,37,
29,26,20,,,,0,2.7498891,5.243401,8.01823,44,
30,26,20,,,,0,2.4372528,5.452268,8.233484,46,
31,26,20,,,,0,2.3091636,5.4565086,9.237483,47,
32,25,20,,,,0,2.4409661,5.2589974,9.493635,51,
33,25,20,,,,0,2.4877763,5.3339596,9.4862,46,
34,25,20,,,,0,2.1587193,5.4799285,9.724075,45,
35,25,20,,,,0,2.137607,5.7941656,10.074759,42,
36,25,20,,,,0,1.6763344,5.5365276,10.847279,32,
37,25,20,,,,0,1.5981022,6.0850763,10.719548,30,
38,25,20,,,,0,1.7157534,6.242287,10.946826,33,
39,25,20,,,,0,1.6746683,5.7512283,10.986778,28,
40,25,20,,,,0,1.5222787,5.7657046,11.090037,39,
41,25,20,,,,0,1.46226,5.540107,12.050647,43,
42,25,20,,,,0,1.4172306,5.5603123,12.094116,39,
43,25,20,,,,0,1.4502854,5.0894365,11.61718,36,
44,25,20,,,,0,1.5638478,5.1617928,11.5411415,36,
45,25,20,,,,0,1.5597676,4.8396525,11.478861,30,
46,25,20,,,,0,1.521651,5.1882343,12.260859,26,
47,25,20,,,,0,1.4257352,5.287032,11.972884,31,
48,25,20,,,,0,1.4212973,5.441645,11.183193,35,
49,25,20,,,,0,1.483586,5.492342,12.385934,34,
50,25,20,,,,0,1.4190584,5.738341,12.920849,35,
51,25,20,,,,0,1.3098108,5.4369245,12.944607,35,
52,25,20,,,,0,1.2572662,5.401897,13.127539,44,
53,25,20,,,,0,1.3932258,5.3163686,13.853562,38,
54,25,20,,,,0,1.392466,5.0918856,14.524894,33,
55,25,20,,,,0,1.2495427,5.045348,15.520883,36,
56,25,20,,,,0,1.2789936,5.5267324,17.227526,35,
57,25,20,,,,0,1.2697496,5.3135815,17.874498,25,
58,25,20,,,,0,1.2048017,5.616003,18.064257,32,
59,25,20,,,,0,1.1933442,5.6791854,19.146046,35,
60,25,20,,,,0,1.249875,5.6188164,20.497978,31,
61,25,20,,,,0,1.2646235,5.700899,19.563974,35,
62,25,20,,,,0,1.142304,5.592542,19.240976,34,
63,25,20,,,,0,1.0715839,5.8233495,20.248188,34,
64,25,20,,,,0,1.0303457,6.0772367,21.739357,30,
65,25,20,,,,0,0.9303957,5.6798,23.771416,30,
66,25,20,,,,0,0.94298214,5.870622,25.452223,35,
67,25,20,,,,0,0.92546266,6.437333,24.600334,30,
68,25,20,,,,0,0.8732858,6.4410844,24.923586,31,
69,25,20,,,,0,0.78643167,6.650956,24.363075,32,
70,25,20,,,,0,0.7734284,6.2707605,25.681534,40,
71,25,20,,,,0,0.7366854,6.1622143,26.814674,37,
72,25,20,,,,0,0.6873967,5.948206,27.465368,37,
73,25,20,,,,0,0.72688365,5.9707794,27.447182,38,
74,25,20,,,,0,0.6896338,5.9178715,27.448946,44,
75,25,20,,,,0,0.6839109,5.5450916,28.019676,42,
76,25,20,,,,0,0.61856747,5.78483,26.447058,41,
77,25,20,,,,0,0.65985805,6.087277,26.915016,35,
78,25,20,,,,0,0.6540476,6.063373,23.3693,36,
79,25,20,,,,0,0.6233189,5.9202857,22.17359,42,
80,25,20,,,,0,0.6517057,5.7389526,21.086292,42,
81,25,20,,,,0,0.6130659,5.6415176,21.32461,49,
82,25,20,,,,0,0.59306675,5.816331,21.112322,45,
83,25,20,,,,0,0.5859455,5.6245537,23.033094,48,
84,25,20,,,,0,0.6350035,5.714505,24.658426,45,
85,25,20,,,,0,0.6341243,5.605813,26.35806,43,
86,25,20,,,,0,0.6780602,5.8095803,26.298532,41,
87,25,20,,,,0,0.652804,6.0075407,22.741013,37,
88,25,20,,,,0,0.6106957,5.9841003,21.567387,45,
89,25,20,,,,0,0.6487576,5.565034,20.357302,40,
90,25,20,,,,0,0.6256743,5.4767375,21.23124,46,
91,25,20,,,,0,0.64949757,5.9028883,19.752863,37,
92,25,20,,,,0,0.6909825,5.971747,19.809685,30,
93,25,20,,,,0,0.70361316,6.0990977,19.371641,44,
94,25,20,,,,0,0.6390642,6.3222837,18.67458,39,
95,25,20,,,,0,0.6139728,6.329683,17.217903,45,
96,25,20,,,,0,0.5741089,6.510601,17.846869,37,
97,25,20,,,,0,0.5325333,6.6177044,17.713903,36,
98,25,20,,,,0,0.5224201,6.5214534,17.372137,45,
99,25,20,,,,0,0.48571166,6.5343556,16.886576,44,
100,25,20,,,,0,0.46102744,6.0400634,18.182354,37,
